Position (m),Deflection (mm)
0.0,0.0
0.0,0.0
0.015,-0.006976123649542134
0.015,-0.006573114005938694
0.03,-0.019842333784236096
0.03,-0.019502730586077766
0.045,-0.04133398950201585
0.045,-0.04098327697859288
0.06,-0.0714369977065075
0.06,-0.07109013543538069
0.075,-0.11008746696176862
0.075,-0.10974247240563455
0.09,-0.1572292609956473
0.09,-0.15688640077051266
0.105,-0.21246978265534966
0.105,-0.21281056659235273
0.12,-0.2764415033658089
0.12,-0.27678020770705486
0.135,-0.3487504106148109
0.135,-0.34908703931643176
0.15,-0.4293454098181684
0.15,-0.42967996594632846
0.16499999999999998,-0.5185079701931745
0.16499999999999998,-0.5181754833480695
0.18,-0.6155201156684159
0.18,-0.615189694843629
0.195,-0.7206655465065833
0.195,-0.720337188437308
0.21,-0.8335671886121507
0.21,-0.8338934871899405
0.22499999999999998,-0.9548290001936942
0.22499999999999998,-0.9551532425441401
0.24,-1.0840720083548732
0.24,-1.084394197742113
0.255,-1.2212456786167936
0.255,-1.2215658183049671
0.27,-1.3666176501018383
0.27,-1.3662995568485912
0.285,-1.5194993193498698
0.285,-1.519183269267409
0.3,-1.6798465224386188
0.3,-1.6801605326144324
0.315,-1.8482391032754764
0.315,-1.8485510768087814
0.32999999999999996,-2.024620819194319
0.32999999999999996,-2.0243108790393856
0.345,-2.2080117973398017
0.345,-2.208319707380501
0.36,-2.3995977693244144
0.36,-2.3992918861338106
0.375,-2.598101253726688
0.375,-2.598405113331334
0.39,-2.804691928054991
0.39,-2.8043900887721653
0.40499999999999997,-3.018108660271073
0.40499999999999997,-3.018408482496218
0.42,-3.2395051260046737
0.42,-3.2392073175730673
0.435,-3.4679322882777393
0.435,-3.467636490375533
0.44999999999999996,-3.703640479361078
0.44999999999999996,-3.7033466887241335
0.46499999999999997,-3.9462885030122603
0.46499999999999997,-3.9465802896480886
0.48,-4.19670238988042
0.48,-4.19641260398157
0.495,-4.453957531148504
0.495,-4.4536697427224965
0.51,-4.718010750672161
0.51,-4.718296544889459
0.525,-4.989386539617548
0.525,-4.98967034289027
0.54,-5.268029917283138
0.54,-5.267748101690865
0.5549999999999999,-5.553046509373851
0.5549999999999999,-5.553326340549813
0.57,-5.845510765519631
0.57,-5.845232915495845
0.585,-6.144258553233447
0.585,-6.144534425369184
0.6,-6.4500747361132
0.6,-6.450348633625017
0.615,-6.762632858006303
0.615,-6.762904784158324
0.63,-7.081884393134946
0.63,-7.082154351191299
0.645,-7.407780896065358
0.645,-7.408048889290168
0.6599999999999999,-7.740540033371494
0.6599999999999999,-7.740274001714086
0.6749999999999999,-8.07957949869922
0.6749999999999999,-8.079315425345083
0.69,-8.425119080884393
0.69,-8.424856962569397
0.705,-8.776850489348867
0.705,-8.777110655888848
0.72,-9.13524796198861
0.72,-9.135506180017694
0.735,-9.500257689928299
0.735,-9.500001417145977
0.75,-9.871317302620815
0.75,-9.871062971821148
0.765,-10.248637215448005
0.765,-10.248384823366862
0.78,-10.631919249479878
0.78,-10.63216970610659
0.7949999999999999,-11.021867132641813
0.7949999999999999,-11.021618608205417
0.8099999999999999,-11.417681933445518
0.8099999999999999,-11.417435337935322
0.825,-11.819566627257206
0.825,-11.8193219574091
0.84,-12.227231065714237
0.84,-12.227473813164384
0.855,-12.64135617059988
0.855,-12.64111534228358
0.87,-13.061166459349312
0.87,-13.060927546902729
0.885,-13.486857519539356
0.885,-13.486620519698384
0.8999999999999999,-13.918382271648783
0.8999999999999999,-13.918147181149292
0.9149999999999999,-14.355693716504796
0.9149999999999999,-14.35546053208268
0.9299999999999999,-14.798744935275888
0.9299999999999999,-14.798513653667058
0.945,-15.247489089485406
0.945,-15.247259707425709
0.96,-15.701651935221662
0.96,-15.701879420996313
0.975,-16.16186925202723
0.975,-16.16164365927351
0.99,-16.627188282141926
0.99,-16.627411985138814
1.005,-17.098239286735993
1.005,-17.098461103240126
1.02,-17.574750236309992
1.02,-17.574970169585484
1.035,-18.05667477446614
1.035,-18.056892827777105
1.05,-18.544182801767075
1.05,-18.543966625156592
1.065,-19.036579592678823
1.065,-19.03679389585293
1.08,-19.53446756167266
1.08,-19.534679994674473
1.095,-20.037584497128034
1.095,-20.03779506322167
1.1099999999999999,-20.54588444438608
1.1099999999999999,-20.54609314683555
1.125,-21.05952837119533
1.125,-21.059321529125935
1.14,-21.578054942328862
1.14,-21.577849957375452
1.155,-22.101627146615137
1.155,-22.10142401551364
1.17,-22.629998070263255
1.17,-22.63019935077684
1.185,-23.163526568688305
1.185,-23.163726001878082
1.2,-23.70216162733247
1.2,-23.701964038202394
1.2149999999999999,-24.24526508657116
1.2149999999999999,-24.245460834905515
1.23,-24.793578312698823
1.23,-24.793384401896088
1.2449999999999999,-25.34627675262856
1.2449999999999999,-25.346468829163758
1.26,-25.90408723310278
1.26,-25.903896987571077
1.275,-26.466388453661352
1.275,-26.466200035869143
1.29,-27.03332750032573
1.29,-27.03314090700891
1.305,-27.604674690826155
1.305,-27.60485946293167
1.3199999999999998,-28.180939511667926
1.3199999999999998,-28.180756557509728
1.335,-28.761341757583114
1.335,-28.761522897058054
1.3499999999999999,-29.346564949974162
1.3499999999999999,-29.346385621918373
1.365,-29.936021081641194
1.365,-29.935843561740537
1.38,-30.529846783625707
1.38,-30.52967106861618
1.395,-31.12782371445236
1.395,-31.127997627834844
1.41,-31.730429266524666
1.41,-31.73025715150514
1.425,-32.3369271123834
1.425,-32.33709743230401
1.44,-32.947789410032925
1.44,-32.9479579381187
1.4549999999999998,-33.5629666772654
1.4549999999999998,-33.56279993775042
1.47,-34.18207962339041
1.47,-34.181914669182156
1.4849999999999999,-34.80508965831148
1.4849999999999999,-34.805252830477045
1.5,-35.43244243286075
1.5,-35.43228103947375
1.515,-36.06360464521657
1.515,-36.06344502734406
1.53,-36.698695762582396
1.53,-36.698537916960284
1.545,-37.33751608369845
1.545,-37.33767216033407
1.56,-37.98033598327116
1.56,-37.98049029418441
1.575,-38.62695415174217
1.575,-38.627106700197125
1.5899999999999999,-39.27732720553049
1.5899999999999999,-39.27747799479106
1.605,-39.93141184138349
1.605,-39.93156087471373
1.6199999999999999,-40.58931211706233
1.6199999999999999,-40.58916483639834
1.635,-41.250543048027
1.635,-41.25068857928872
1.65,-41.915503414062236
1.65,-41.9156471991857
1.665,-42.58400295262936
1.665,-42.58414499487863
1.68,-43.255998762209714
1.68,-43.25613906484892
1.6949999999999998,-43.931448021643604
1.6949999999999998,-43.93158658793669
1.71,-44.61044482330416
1.71,-44.61030799009311
1.7249999999999999,-45.292536007075434
1.7249999999999999,-45.29267111046858
1.74,-45.978222869306244
1.74,-45.978089492467
1.755,-46.66692594648108
1.755,-46.66705760003034
1.77,-47.359002949666014
1.77,-47.35913288318939
1.785,-48.05427816292156
1.785,-48.054406379683094
1.7999999999999998,-48.752835830768156
1.7999999999999998,-48.75270932750457
1.815,-49.45437905802677
1.815,-49.4542542649971
1.8299999999999998,-50.15899396339063
1.8299999999999998,-50.158870877330806
1.845,-50.86663852914756
1.845,-50.866517146793655
1.8599999999999999,-51.57715113600274
1.8599999999999999,-51.57727081791479
1.875,-52.290730987929805
1.875,-52.290848972664044
1.89,-53.00733121670212
1.89,-53.00721492588154
1.905,-53.72667585370508
1.905,-53.72656125353417
1.92,-54.44872835489815
1.92,-54.448841267683285
1.9349999999999998,-55.173785922974126
1.9349999999999998,-55.173674694310606
1.95,-55.901468364287034
1.95,-55.90135881648123
1.9649999999999999,-56.63184721666659
1.9649999999999999,-56.63173934645453
1.98,-57.36488118548881
1.98,-57.36477498960651
1.9949999999999999,-58.10052905648188
1.9949999999999999,-58.10042453166533
2.01,-58.83864683871679
2.01,-58.838749695731515
2.025,-59.57950204963837
2.025,-59.5794008571615
2.04,-60.32264561375829
2.04,-60.322745144961594
2.0549999999999997,-61.06834021561072
2.0549999999999997,-61.06843808880473
2.07,-61.81644385018782
2.07,-61.81654006863672
2.085,-62.567010352271964
2.085,-62.56691578530389
2.1,-63.31980828787288
2.1,-63.31971536912147
2.1149999999999998,-64.07489330395082
2.1149999999999998,-64.07480203015176
2.13,-64.83213527725708
2.13,-64.83222490936807
2.145,-65.59167469965945
2.145,-65.59176269334655
2.16,-66.35346632545404
2.16,-66.35337996692657
2.175,-67.11721082896733
2.175,-67.11729555559947
2.19,-67.8832102140564
2.19,-67.8831271160555
2.205,-68.65117021144404
2.205,-68.65108873881007
2.2199999999999998,-69.42113553872126
2.2199999999999998,-69.42105568818995
2.235,-70.19306626721146
2.235,-70.19298803551862
2.25,-70.96684593246748
2.25,-70.96692254858613
2.265,-71.74258961105438
2.265,-71.74266461486306
2.28,-72.52025277840885
2.28,-72.52017938364584
2.295,-73.29957564296242
2.295,-73.29964743194407
2.31,-74.080809048548
2.31,-74.08073886208348
2.3249999999999997,-74.86369818164107
2.3249999999999997,-74.8636295944294
2.34,-75.64827546499747
2.34,-75.64820847377428
2.355,-76.4344362142534
2.355,-76.43450161275236
2.37,-77.22227361034955
2.37,-77.22233741938847
2.385,-78.01168153688408
2.385,-78.01174375972734
2.4,-78.80268158895706
2.4,-78.80262094904529
2.415,-79.59511194261476
2.415,-79.59505288237017
2.4299999999999997,-80.3889384527351
2.4299999999999997,-80.38899593657682
2.445,-81.18429476708393
2.445,-81.18423885638089
2.46,-81.98096971072529
2.46,-81.98091536989664
2.475,-82.77898212443667
2.475,-82.77892935021818
2.4899999999999998,-83.57824223463011
2.4899999999999998,-83.57829344550277
2.505,-84.37886519156395
2.505,-84.37881554077278
2.52,-85.18061086664736
2.52,-85.18065896062137
2.5349999999999997,-85.98358989059459
2.5349999999999997,-85.98363643101573
2.55,-86.78771437131297
2.55,-86.7877593614456
2.565,-87.59298959096793
2.565,-87.59294614785965
2.58,-88.39928903898712
2.58,-88.39924713963879
2.5949999999999998,-89.20661970524726
2.5949999999999998,-89.20657934639455
2.61,-90.01490484823908
2.61,-90.0149436698604
2.625,-90.8242230932912
2.625,-90.824185805637
2.6399999999999997,-91.63438445938543
2.6399999999999997,-91.63442021633688
2.655,-92.44549736016451
2.655,-92.44546313065155
2.67,-93.25738422095608
2.67,-93.25741692629495
2.685,-94.07014139659132
2.685,-94.07011021216236
2.6999999999999997,-94.88360366648332
2.6999999999999997,-94.8836333332668
2.715,-95.69782722649128
2.715,-95.69785537889366
2.73,-96.51274361512063
2.73,-96.51277025640616
2.745,-97.32834076908323
2.745,-97.32831563565026
2.76,-98.14450617171546
2.76,-98.14452980055995
2.775,-98.96127818729893
2.775,-98.96130031481898
2.79,-99.77859472670973
2.79,-99.77861535616944
2.8049999999999997,-100.59643804929607
2.8049999999999997,-100.59641891463262
2.82,-101.41471395608089
2.82,-101.41473159921202
2.835,-102.23344313639352
2.835,-102.23345929125666
2.85,-103.05256982128246
2.85,-103.05258449114196
2.8649999999999998,-103.87205745680548
2.8649999999999998,-103.8720706449256
2.88,-104.69186956936878
2.88,-104.69188127901467
2.895,-105.51196976575376
2.895,-105.51198000019161
2.9099999999999997,-106.3323217334386
2.9099999999999997,-106.33233049595643
2.925,-107.15289653554429
2.925,-107.1528892419152
2.94,-107.97363613486509
2.94,-107.9736419630637
2.955,-108.7945262829068
2.955,-108.79453064295208
2.9699999999999998,-109.61552330489916
2.9699999999999998,-109.61552626106769
2.985,-110.43659274510325
2.985,-110.43659419828363
3.0,-111.25772056836567
3.0,-111.25771965247706
