Position (m),Normal Stress (MPa)
0.0,18.777517199999995
0.001507537688442211,18.68109188325547
0.003015075376884422,18.584687434529428
0.004522613065326633,18.48830385382187
0.006030150753768844,18.391941141132794
0.007537688442211055,18.295599296462207
0.009045226130653266,18.199278319810105
0.010552763819095477,18.102978211176477
0.012060301507537688,18.006698970561345
0.013567839195979899,17.910440597964694
0.01507537688442211,17.814203093386528
0.016582914572864323,17.717986456826843
0.018090452261306532,17.62179068828565
0.01959798994974874,17.525615787762934
0.021105527638190954,17.429461755258703
0.022613065326633167,17.333328590772954
0.024120603015075376,17.237216294305693
0.025628140703517585,17.14112486585692
0.027135678391959798,17.04505430542663
0.02864321608040201,16.94900461301482
0.03015075376884422,16.852975788621492
0.03165829145728643,16.75696783224666
0.033165829145728645,16.6609807438903
0.034673366834170855,16.56501452355243
0.036180904522613064,16.469069171233045
0.03768844221105527,16.373144686932143
0.03919597989949748,16.277241070649726
0.0407035175879397,16.18135832238579
0.04221105527638191,16.085496442140347
0.04371859296482412,15.989655429913384
0.04522613065326633,15.893835285704899
0.04673366834170854,15.798036009514908
0.04824120603015075,15.702257601343398
0.04974874371859296,15.60650006119037
0.05125628140703517,15.510763389055832
0.052763819095477386,15.41504758493977
0.054271356783919596,15.319352648842198
0.055778894472361805,15.22367858076311
0.05728643216080402,15.128025380702503
0.05879396984924623,15.032393048660385
0.06030150753768844,14.936781584636746
0.06180904522613065,14.841190988631597
0.06331658291457286,14.74562126064493
0.06482412060301507,14.650072400676748
0.06633165829145729,14.554544408727052
0.0678391959798995,14.459037284795835
0.06934673366834171,14.363551028883107
0.07085427135678392,14.268085640988863
0.07236180904522613,14.1726411211131
0.07386934673366834,14.077217469255825
0.07537688442211055,13.981814685417033
0.07688442211055276,13.886432769596725
0.07839195979899496,13.7910717217949
0.07989949748743719,13.69573154201156
0.0814070351758794,13.600412230246706
0.0829145728643216,13.505113786500338
0.08442211055276382,13.40983621077245
0.08592964824120602,13.314579503063051
0.08743718592964823,13.219343663372133
0.08894472361809044,13.124128691699706
0.09045226130653267,13.028934588045752
0.09195979899497488,12.933761352410288
0.09346733668341708,12.838608984793309
0.0949748743718593,12.743477485194813
0.0964824120603015,12.648366853614803
0.09798994974874371,12.55327709005328
0.09949748743718592,12.458208194510238
0.10100502512562813,12.363160166985677
0.10251256281407034,12.268133007479609
0.10402010050251256,12.17312671599202
0.10552763819095477,12.078141292522913
0.10703517587939698,11.983176737072295
0.10854271356783919,11.888233049640158
0.1100502512562814,11.793310230226508
0.11155778894472361,11.698408278831343
0.11306532663316582,11.603527195454658
0.11457286432160804,11.50866698009646
0.11608040201005025,11.413827632756746
0.11758793969849246,11.319009153435518
0.11909547738693467,11.224211542132773
0.12060301507537688,11.129434798848509
0.12211055276381909,11.034678923582737
0.1236180904522613,10.939943916335446
0.12512562814070352,10.845229777106635
0.12663316582914572,10.750536505896315
0.12814070351758794,10.655864102704477
0.12964824120603013,10.561212567531122
0.13115577889447236,10.46658190037625
0.13266331658291458,10.371972101239864
0.13417085427135678,10.277383170121965
0.135678391959799,10.182815107022549
0.1371859296482412,10.088267911941616
0.13869346733668342,9.993741584879167
0.1402010050251256,9.899236125835204
0.14170854271356784,9.804751534809725
0.14321608040201003,9.710287811802733
0.14472361809045226,9.61584495681422
0.14623115577889448,9.521422969844192
0.14773869346733667,9.427021850892652
0.1492462311557789,9.332641599959594
0.1507537688442211,9.238282217045022
0.15226130653266332,9.143943702148935
0.1537688442211055,9.04962605527133
0.15527638190954773,8.95532927641221
0.15678391959798993,8.861053365571575
0.15829145728643215,8.766798322749423
0.15979899497487438,8.672564147945758
0.16130653266331657,8.578350841160574
0.1628140703517588,8.484158402393877
0.164321608040201,8.389986831645666
0.1658291457286432,8.295836128915935
0.1673366834170854,8.201706294204689
0.16884422110552763,8.10759732751193
0.17035175879396985,8.013509228837654
0.17185929648241205,7.919441998181861
0.17336683417085427,7.825395635544553
0.17487437185929647,7.731370140925732
0.1763819095477387,7.637365514325396
0.1778894472361809,7.543381755743542
0.1793969849246231,7.449418865180171
0.18090452261306533,7.355476842635284
0.18241206030150753,7.261555688108886
0.18391959798994975,7.167655401600968
0.18542713567839195,7.073775983111538
0.18693467336683417,6.97991743264059
0.18844221105527637,6.8860797501881255
0.1899497487437186,6.792262935754144
0.19145728643216078,6.698466989338653
0.192964824120603,6.604691910941642
0.19447236180904523,6.510937700563116
0.19597989949748743,6.417204358203078
0.19748743718592965,6.323491883861518
0.19899497487437184,6.229800277538444
0.20050251256281407,6.1361295392338535
0.20201005025125626,6.042479668947753
0.20351758793969849,5.94885066668013
0.20502512562814068,5.8552425324309985
0.2065326633165829,5.7616552662003455
0.20804020100502513,5.668088867988179
0.20954773869346732,5.574543337794501
0.21105527638190955,5.4810186756193024
0.21256281407035174,5.387514881462587
0.21407035175879396,5.294031955324361
0.21557788944723616,5.200569897204617
0.21708542713567838,5.107128707103355
0.2185929648241206,5.013708385020578
0.2201005025125628,4.920308930956289
0.22160804020100502,4.8269303449104815
0.22311557788944722,4.733572626883161
0.22462311557788944,4.640235776874321
0.22613065326633164,4.5469197948839675
0.22763819095477386,4.453624680912099
0.22914572864321608,4.360350434958712
0.23065326633165828,4.267097057023811
0.2321608040201005,4.173864547107395
0.2336683417085427,4.080652905209464
0.23517587939698492,3.987462131330017
0.23668341708542712,3.8942922254690546
0.23819095477386934,3.8011431876265744
0.23969849246231154,3.7080150178025835
0.24120603015075376,3.614907715997072
0.24271356783919598,3.5218212822100465
0.24422110552763818,3.428755716441501
0.2457286432160804,3.3357110186914434
0.2472361809045226,3.2426871889598727
0.24874371859296482,3.149684227246784
0.25025125628140704,3.0567021335521796
0.25175879396984924,2.9637409078760633
0.25326633165829143,2.87080055021843
0.2547738693467337,2.7778810605792774
0.2562814070351759,2.684982438958612
0.2577889447236181,2.5921046853564293
0.25929648241206027,2.499247799772735
0.2608040201005025,2.4064117822075213
0.2623115577889447,2.313596632660792
0.2638190954773869,2.2208023511325483
0.26532663316582916,2.128028937622784
0.26683417085427136,2.035276392131511
0.26834170854271355,1.942544714658721
0.26984924623115575,1.849833905204414
0.271356783919598,1.75714396376859
0.2728643216080402,1.6644748903512534
0.2743718592964824,1.5718266849524
0.2758793969849246,1.4791993475720322
0.27738693467336684,1.3865928782101449
0.27889447236180903,1.2940072768667472
0.2804020100502512,1.2014425435418326
0.2819095477386935,1.1088986782353965
0.2834170854271357,1.0163756809474525
0.28492462311557787,0.9238735516779915
0.28643216080402006,0.831392290427011
0.2879396984924623,0.7389318971945135
0.2894472361809045,0.6464923719805037
0.2909547738693467,0.5540737147849816
0.29246231155778896,0.46167592560793763
0.29396984924623115,0.36929900444938135
0.29547738693467335,0.2769429513093105
0.29698492462311554,0.18460776618772484
0.2984924623115578,0.09229344908461978
0.3,2.3852447794681098e-15
